name,ward,lat,lng,zone,railway_stations,metro_stations,bus_stops,colleges,schools,offices,malls,hospitals,parking_lots,tourist_spots,existing_cafes,existing_restaurants,existing_gyms,restaurant_count,restaurant_rating,restaurant_viability,restaurant_viability_norm,cafe_count,cafe_rating,cafe_viability,cafe_viability_norm,gym_count,gym_rating,gym_viability,gym_viability_norm,pharmacy_count,pharmacy_rating,pharmacy_viability,pharmacy_viability_norm,beauty_salon_count,beauty_salon_rating,beauty_salon_viability,beauty_salon_viability_norm,store_count,store_rating,store_viability,store_viability_norm,school_count,school_rating,school_viability,school_viability_norm,lodging_count,lodging_rating,lodging_viability,lodging_viability_norm,bar_count,bar_rating,bar_viability,bar_viability_norm,night_club_count,night_club_rating,night_club_viability,night_club_viability_norm,reckoner_rate,est_rent_sqft,rent_tier,overall_footfall,morning_footfall,afternoon_footfall,evening_footfall,office_hr_footfall,weekend_footfall,norm_offices,norm_colleges,norm_rent,cluster_id,cluster_label,restaurant_saturation,cafe_saturation,gym_saturation,pharmacy_saturation,beauty_salon_saturation,store_saturation,school_saturation,lodging_saturation,bar_saturation,night_club_saturation,footfall_multiplier,restaurant_est_revenue_lakhs,restaurant_est_rent_cost_lakhs,restaurant_est_roi_pct,cafe_est_revenue_lakhs,cafe_est_rent_cost_lakhs,cafe_est_roi_pct,gym_est_revenue_lakhs,gym_est_rent_cost_lakhs,gym_est_roi_pct,pharmacy_est_revenue_lakhs,pharmacy_est_rent_cost_lakhs,pharmacy_est_roi_pct,beauty_salon_est_revenue_lakhs,beauty_salon_est_rent_cost_lakhs,beauty_salon_est_roi_pct,store_est_revenue_lakhs,store_est_rent_cost_lakhs,store_est_roi_pct,school_est_revenue_lakhs,school_est_rent_cost_lakhs,school_est_roi_pct,lodging_est_revenue_lakhs,lodging_est_rent_cost_lakhs,lodging_est_roi_pct,bar_est_revenue_lakhs,bar_est_rent_cost_lakhs,bar_est_roi_pct,night_club_est_revenue_lakhs,night_club_est_rent_cost_lakhs,night_club_est_roi_pct,restaurant_market_tag,cafe_market_tag,gym_market_tag,pharmacy_market_tag,beauty_salon_market_tag,store_market_tag,school_market_tag,lodging_market_tag,bar_market_tag,night_club_market_tag,restaurant_expected_count,restaurant_gap,cafe_expected_count,cafe_gap,gym_expected_count,gym_gap,pharmacy_expected_count,pharmacy_gap,beauty_salon_expected_count,beauty_salon_gap,store_expected_count,store_gap,school_expected_count,school_gap,lodging_expected_count,lodging_gap,bar_expected_count,bar_gap,night_club_expected_count,night_club_gap
Vashi Naka,M/E,19.0643,72.9248,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3.9,401.78,35.4,4,4.8,30.9,6.5,9,4.7,97.4,49.8,21,4.6,298.59,48.2,6,4.8,56.04,16.9,26,3.9,334.2,19.2,4,3.9,25.11,17.0,0,0.0,0.0,0.0,8,4.7,82.62,57.1,0,0.0,0.0,0.0,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,30.0,4.0,9.0,21.0,6.0,26.0,4.0,0.0,8.0,0.0,0.5,1.06,0.96,10.4,0.11,0.6,-81.7,0.62,1.8,-65.6,0.96,0.36,166.7,0.17,0.48,-64.6,0.53,0.72,-26.4,0.68,2.4,-71.7,0.0,3.6,-100.0,1.43,0.84,70.2,0.0,1.44,-100.0,Growing,Saturated,Growing,Growing,Saturated,Saturated,Saturated,Low Demand,Growing,Low Demand,21.0,-9.0,10.5,6.5,5.0,-4.0,13.0,-8.0,6.1,0.1,32.9,6.9,5.1,1.1,4.5,4.5,4.5,-3.5,1.8,1.8
Kurla North,L,19.0762,72.8843,Eastern Suburbs,0,0,0,0,0,0,0,0,0,0,0,0,0,34,4.7,568.14,50.0,18,4.0,212.0,44.7,10,4.3,103.11,52.7,9,3.7,76.68,12.4,15,4.1,170.51,51.5,32,3.6,402.8,23.2,2,3.9,8.57,5.8,7,4.2,61.14,31.3,2,4.0,8.79,6.1,1,4.3,2.98,9.6,24000,120.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,3,Mixed-Use Locality,34.0,18.0,10.0,9.0,15.0,32.0,2.0,7.0,2.0,1.0,0.5,1.5,0.96,56.3,0.78,0.6,30.0,0.66,1.8,-63.3,0.25,0.36,-30.6,0.52,0.48,8.3,0.64,0.72,-11.1,0.23,2.4,-90.4,1.1,3.6,-69.4,0.15,0.84,-82.1,0.31,1.44,-78.5,Growing,Growing,Growing,Saturated,Growing,Saturated,Saturated,Growing,Saturated,Growing,20.5,-13.5,8.8,-9.2,4.9,-5.1,14.5,5.5,5.0,-10.0,32.1,0.1,5.4,3.4,3.6,-3.4,5.2,3.2,1.6,0.6
Vashi,NMC-A,19.0771,73.0072,Navi Mumbai,0,0,8,10,12,6,12,30,4,36,0,0,0,14,3.5,132.69,11.7,7,4.4,64.05,13.5,2,3.6,7.91,4.0,17,4.7,230.94,37.3,7,4.6,66.96,20.2,34,4.6,556.06,32.0,5,3.9,34.94,23.6,0,0.0,0.0,0.0,5,4.7,42.11,29.1,1,4.2,2.91,9.4,25000,125.0,moderate,15.4,9.7,25.6,23.4,6.4,32.3,6.382978723404255,27.77777777777778,33.33333333333333,1,Mixed-Use Locality,0.854,0.427,0.122,1.037,0.427,2.073,0.305,0.0,0.305,0.061,0.7471910112359551,0.52,1.0,-48.0,0.35,0.62,-43.5,0.07,1.88,-96.3,1.11,0.38,192.1,0.3,0.5,-40.0,1.32,0.75,76.0,1.41,2.5,-43.6,0.0,3.75,-100.0,1.09,0.88,23.9,0.46,1.5,-69.3,Low Demand,Low Demand,Low Demand,Growing,Low Demand,Growing,Growing,Low Demand,Growing,Growing,24.6,10.6,10.6,3.6,3.4,1.4,17.8,0.8,10.9,3.9,30.6,-3.4,3.8,-1.2,6.4,6.4,2.6,-2.4,1.2,0.2
Belapur,NMC-B,19.0229,73.0346,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3.9,191.63,16.9,2,3.8,8.35,1.8,6,4.0,46.7,23.9,13,4.2,144.09,23.3,2,3.5,7.69,2.3,37,3.5,471.07,27.1,2,4.4,9.67,6.5,4,3.6,23.18,11.9,0,0.0,0.0,0.0,2,3.6,7.91,25.6,22000,110.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.33333333333333,3,Mixed-Use Locality,17.0,2.0,6.0,13.0,2.0,37.0,2.0,4.0,0.0,2.0,0.5,0.51,0.88,-42.0,0.03,0.55,-94.5,0.3,1.65,-81.8,0.47,0.33,42.4,0.02,0.44,-95.5,0.75,0.66,13.6,0.26,2.2,-88.2,0.42,3.3,-87.3,0.0,0.77,-100.0,0.83,1.32,-37.1,Saturated,Saturated,Growing,Saturated,Saturated,Saturated,Saturated,Saturated,Low Demand,Growing,23.9,6.9,10.6,8.6,5.1,-0.9,14.4,1.4,6.9,4.9,30.4,-6.6,5.0,3.0,3.5,-0.5,5.4,5.4,1.5,-0.5
Kharghar,NMC-C,19.0474,73.0661,Navi Mumbai,2,6,0,6,6,2,6,38,0,14,0,10,2,11,4.4,120.27,10.6,12,4.4,135.43,28.6,7,4.1,59.68,30.5,16,4.6,208.52,33.7,7,4.1,59.68,18.0,7,4.2,61.14,3.5,1,3.9,2.7,1.8,0,0.0,0.0,0.0,5,4.6,41.21,28.5,0,0.0,0.0,0.0,18000,90.0,moderate,9.3,6.0,12.5,11.7,2.9,16.3,2.127659574468085,16.666666666666664,24.0,3,Mixed-Use Locality,1.068,1.165,0.68,1.553,0.68,0.68,0.097,0.0,0.485,0.0,0.6492776886035313,0.41,0.72,-43.1,0.65,0.45,44.4,0.5,1.35,-63.0,0.88,0.27,225.9,0.23,0.36,-36.1,0.12,0.54,-77.8,0.09,1.8,-95.0,0.0,2.7,-100.0,0.93,0.63,47.6,0.0,1.08,-100.0,Low Demand,Growing,Growing,Growing,Low Demand,Low Demand,Low Demand,Low Demand,Growing,Low Demand,17.0,6.0,8.1,-3.9,5.5,-1.5,15.4,-0.6,7.1,0.1,37.6,30.6,3.9,2.9,3.0,3.0,5.2,0.2,1.5,1.5
Panvel,NMC-D,18.9894,73.1175,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.0,46.7,4.1,10,4.5,107.91,22.8,6,3.6,42.03,21.5,3,4.6,19.13,3.1,2,4.1,9.01,2.7,9,3.6,74.6,4.3,1,3.9,2.7,1.8,0,0.0,0.0,0.0,2,4.5,9.89,6.8,1,4.4,3.05,9.9,12000,60.0,budget,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3,Mixed-Use Locality,6.0,10.0,6.0,3.0,2.0,9.0,1.0,0.0,2.0,1.0,0.5,0.12,0.48,-75.0,0.4,0.3,33.3,0.27,0.9,-70.0,0.06,0.18,-66.7,0.03,0.24,-87.5,0.12,0.36,-66.7,0.07,1.2,-94.2,0.0,1.8,-100.0,0.17,0.42,-59.5,0.32,0.72,-55.6,Saturated,Saturated,Growing,Low Demand,Saturated,Saturated,Saturated,Low Demand,Saturated,Growing,13.0,7.0,7.6,-2.4,4.4,-1.6,10.6,7.6,5.4,3.4,24.6,15.6,2.1,1.1,3.6,3.6,2.5,0.5,0.4,-0.6
Nerul,NMC-E,19.0398,73.0175,Navi Mumbai,2,0,26,24,22,2,4,34,4,74,0,2,4,5,4.3,38.52,3.4,4,4.0,25.75,5.4,4,3.6,23.18,11.9,10,4.0,95.92,15.5,7,4.5,65.5,19.8,37,4.1,551.82,31.8,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,4.7,10.33,33.4,20000,100.0,moderate,17.6,19.8,18.5,14.3,11.9,28.6,2.127659574468085,66.66666666666666,26.666666666666668,4,Commercial Market,0.269,0.215,0.215,0.538,0.376,1.989,0.0,0.0,0.0,0.108,0.7825040128410915,0.16,0.8,-80.0,0.15,0.5,-70.0,0.23,1.5,-84.7,0.49,0.3,63.3,0.31,0.4,-22.5,1.37,0.6,128.3,0.0,2.0,-100.0,0.0,3.0,-100.0,0.0,0.7,-100.0,1.7,1.2,41.7,Low Demand,Low Demand,Low Demand,Low Demand,Low Demand,Growing,Low Demand,Low Demand,Low Demand,Growing,18.0,13.0,12.6,8.6,3.9,-0.1,15.4,5.4,8.9,1.9,31.9,-5.1,4.6,4.6,3.2,3.2,1.9,1.9,1.5,-0.5
Airoli,NMC-F,19.1557,72.999,Navi Mumbai,2,0,42,0,8,16,0,34,6,16,0,0,2,7,4.8,69.87,6.2,4,4.2,27.04,5.7,2,4.7,10.33,5.3,11,4.6,125.74,20.3,7,4.4,64.05,19.3,34,4.4,531.88,30.6,3,3.8,15.8,10.7,6,3.8,44.37,22.7,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18000,90.0,moderate,7.3,15.7,6.2,5.2,25.8,1.6,17.02127659574468,0.0,24.0,3,Mixed-Use Locality,0.843,0.482,0.241,1.325,0.843,4.096,0.361,0.723,0.0,0.0,0.6171749598715891,0.23,0.72,-68.1,0.12,0.45,-73.3,0.08,1.35,-94.1,0.5,0.27,85.2,0.24,0.36,-33.3,1.04,0.54,92.6,0.53,1.8,-70.6,0.98,2.7,-63.7,0.0,0.63,-100.0,0.0,1.08,-100.0,Low Demand,Low Demand,Low Demand,Low Demand,Low Demand,Growing,Low Demand,Growing,Low Demand,Low Demand,12.4,5.4,9.8,5.8,3.2,1.2,11.5,0.5,8.1,1.1,26.5,-7.5,4.1,1.1,2.9,-3.1,2.6,2.6,0.5,0.5
Ghansoli,NMC-G,19.1178,73.0025,Navi Mumbai,2,0,24,6,4,6,0,2,0,8,0,0,0,11,4.1,112.07,9.9,9,4.3,89.11,18.8,7,4.1,59.68,30.5,17,4.6,226.03,36.5,8,3.7,65.04,19.6,37,4.0,538.36,31.0,3,4.6,19.13,12.9,1,4.5,3.12,1.6,2,3.7,8.13,5.6,2,4.4,9.67,31.3,18000,90.0,moderate,4.9,11.1,4.1,2.2,13.2,4.2,6.382978723404255,16.666666666666664,24.0,3,Mixed-Use Locality,1.864,1.525,1.186,2.881,1.356,6.271,0.508,0.169,0.339,0.339,0.5786516853932584,0.34,0.72,-52.8,0.38,0.45,-15.6,0.44,1.35,-67.4,0.84,0.27,211.1,0.23,0.36,-36.1,0.99,0.54,83.3,0.6,1.8,-66.7,0.06,2.7,-97.8,0.16,0.63,-74.6,1.18,1.08,9.3,Low Demand,Low Demand,Growing,Growing,Low Demand,Growing,Low Demand,Low Demand,Low Demand,Growing,16.5,5.5,9.0,0.0,6.5,-0.5,10.0,-7.0,8.6,0.6,29.9,-7.1,3.5,0.5,4.2,3.2,3.5,1.5,0.9,-1.1
Kopar Khairane,NMC-H,19.1045,73.0065,Navi Mumbai,2,0,30,8,20,8,0,26,2,10,2,10,0,13,3.8,130.37,11.5,13,3.8,130.37,27.5,3,4.8,19.96,10.2,10,3.9,93.52,15.1,9,4.8,99.47,30.0,30,4.4,453.29,26.1,5,3.8,34.04,23.0,0,0.0,0.0,0.0,2,3.8,8.35,5.8,0,0.0,0.0,0.0,18000,90.0,moderate,10.1,14.3,5.5,2.9,16.7,5.5,8.51063829787234,22.22222222222222,24.0,3,Mixed-Use Locality,1.171,1.171,0.27,0.901,0.811,2.703,0.45,0.0,0.18,0.0,0.6621187800963082,0.46,0.72,-36.1,0.64,0.45,42.2,0.17,1.35,-87.4,0.4,0.27,48.1,0.4,0.36,11.1,0.95,0.54,75.9,1.22,1.8,-32.2,0.0,2.7,-100.0,0.19,0.63,-69.8,0.0,1.08,-100.0,Low Demand,Growing,Low Demand,Low Demand,Growing,Low Demand,Growing,Low Demand,Low Demand,Low Demand,12.1,-0.9,8.0,-5.0,4.6,1.6,12.6,2.6,9.2,0.2,30.4,0.4,3.6,-1.4,3.5,3.5,2.8,0.8,0.8,0.8
Sanpada,NMC-I,19.0606,73.0098,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.6,66.96,5.9,13,4.2,144.09,30.4,7,3.8,55.31,28.3,9,3.7,76.68,12.4,7,4.1,59.68,18.0,29,3.7,364.95,21.0,5,4.0,35.84,24.3,2,4.7,10.33,5.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,7.0,13.0,7.0,9.0,7.0,29.0,5.0,2.0,0.0,0.0,0.5,0.18,0.72,-75.0,0.53,0.45,17.8,0.35,1.35,-74.1,0.25,0.27,-7.4,0.18,0.36,-50.0,0.58,0.54,7.4,0.97,1.8,-46.1,0.19,2.7,-93.0,0.0,0.63,-100.0,0.0,1.08,-100.0,Saturated,Growing,Growing,Saturated,Saturated,Saturated,Growing,Saturated,Low Demand,Low Demand,12.5,5.5,5.1,-7.9,4.0,-3.0,12.2,3.2,5.5,-1.5,24.0,-5.0,1.9,-3.1,3.6,1.6,3.4,3.4,0.5,0.5
Turbhe,NMC-J,19.0866,73.0174,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3.6,278.11,24.5,3,3.9,16.22,3.4,7,4.0,58.22,29.8,11,3.7,101.14,16.3,2,3.6,7.91,2.4,14,3.7,140.28,8.1,0,0.0,0.0,0.0,3,4.1,17.05,8.7,3,4.1,17.05,11.8,1,4.0,2.77,9.0,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,24.0,3.0,7.0,11.0,2.0,14.0,0.0,3.0,3.0,1.0,0.5,0.74,0.72,2.8,0.06,0.45,-86.7,0.37,1.35,-72.6,0.33,0.27,22.2,0.02,0.36,-94.4,0.22,0.54,-59.3,0.0,1.8,-100.0,0.3,2.7,-88.9,0.3,0.63,-52.4,0.29,1.08,-73.1,Growing,Saturated,Growing,Saturated,Saturated,Saturated,Low Demand,Saturated,Saturated,Saturated,10.4,-13.6,6.4,3.4,4.0,-3.0,12.0,1.0,6.1,4.1,25.9,11.9,2.5,2.5,3.5,0.5,3.0,0.0,0.4,-0.6
Juinagar,NMC-K,19.0271,73.0187,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3.7,53.86,4.7,9,3.5,72.53,15.3,3,4.8,19.96,10.2,14,3.6,136.49,22.0,7,3.8,55.31,16.7,30,4.3,442.98,25.5,2,4.7,10.33,7.0,4,4.5,28.97,14.8,3,4.5,18.71,12.9,0,0.0,0.0,0.0,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,7.0,9.0,3.0,14.0,7.0,30.0,2.0,4.0,3.0,0.0,0.5,0.14,0.72,-80.6,0.27,0.45,-40.0,0.13,1.35,-90.4,0.44,0.27,63.0,0.17,0.36,-52.8,0.7,0.54,29.6,0.28,1.8,-84.4,0.52,2.7,-80.7,0.32,0.63,-49.2,0.0,1.08,-100.0,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Low Demand,12.5,5.5,5.6,-3.4,4.5,1.5,11.6,-2.4,5.5,-1.5,23.9,-6.1,2.2,0.2,3.4,-0.6,3.0,0.0,0.5,0.5
Seawoods,NMC-L,19.0181,73.0153,Navi Mumbai,2,0,44,8,16,4,8,18,2,58,0,4,2,16,4.8,217.59,19.2,6,4.5,52.54,11.1,2,3.7,8.13,4.2,14,3.9,147.86,23.9,9,3.7,76.68,23.2,30,3.9,401.78,23.1,5,3.6,32.25,21.8,0,0.0,0.0,0.0,4,3.9,25.11,17.4,0,0.0,0.0,0.0,22000,110.0,moderate,14.3,15.4,19.8,19.3,20.2,25.8,4.25531914893617,22.22222222222222,29.33333333333333,1,Mixed-Use Locality,1.046,0.392,0.131,0.915,0.588,1.961,0.327,0.0,0.261,0.0,0.7295345104333868,0.84,0.88,-4.5,0.28,0.55,-49.1,0.08,1.65,-95.2,0.7,0.33,112.1,0.34,0.44,-22.7,0.93,0.66,40.9,1.27,2.2,-42.3,0.0,3.3,-100.0,0.63,0.77,-18.2,0.0,1.32,-100.0,Low Demand,Low Demand,Low Demand,Low Demand,Low Demand,Low Demand,Growing,Low Demand,Low Demand,Low Demand,19.6,3.6,11.1,5.1,6.9,4.9,13.6,-0.4,10.0,1.0,48.2,18.2,6.6,1.6,4.4,4.4,3.6,-0.4,1.5,1.5
Ulwe,NMC-M,18.9734,73.0247,Navi Mumbai,2,0,6,2,2,2,0,0,2,6,0,0,0,21,3.6,233.68,20.6,14,4.1,155.44,32.8,4,4.2,27.04,13.8,9,3.5,72.53,11.7,9,3.8,78.75,23.8,28,3.6,339.42,19.5,2,3.7,8.13,5.5,0,0.0,0.0,0.0,2,4.7,10.33,7.1,0,0.0,0.0,0.0,18000,90.0,moderate,2.2,3.6,1.6,1.2,3.9,1.7,2.127659574468085,5.555555555555555,24.0,3,Mixed-Use Locality,6.562,4.375,1.25,2.812,2.812,8.75,0.625,0.0,0.625,0.0,0.5353130016051364,0.66,0.72,-8.3,0.61,0.45,35.6,0.18,1.35,-86.7,0.25,0.27,-7.4,0.25,0.36,-30.6,0.57,0.54,5.6,0.24,1.8,-86.7,0.0,2.7,-100.0,0.19,0.63,-69.8,0.0,1.08,-100.0,Saturated,Growing,Saturated,Low Demand,Saturated,Saturated,Low Demand,Low Demand,Low Demand,Low Demand,17.9,-3.1,6.0,-8.0,4.8,0.8,11.2,2.2,9.1,0.1,28.1,0.1,4.1,2.1,3.8,3.8,3.5,1.5,0.9,0.9
Dronagiri,NMC-N,18.9376,72.9831,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3.9,317.66,28.0,7,4.3,62.59,13.2,7,4.5,65.5,33.5,5,4.2,37.63,6.1,4,4.7,30.26,9.1,39,3.5,503.53,29.0,4,4.1,26.39,17.9,7,4.6,66.96,34.3,2,4.3,9.45,6.5,0,0.0,0.0,0.0,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,25.0,7.0,7.0,5.0,4.0,39.0,4.0,7.0,2.0,0.0,0.5,0.84,0.72,16.7,0.23,0.45,-48.9,0.42,1.35,-68.9,0.12,0.27,-55.6,0.09,0.36,-75.0,0.8,0.54,48.1,0.72,1.8,-60.0,1.2,2.7,-55.6,0.16,0.63,-74.6,0.0,1.08,-100.0,Growing,Saturated,Growing,Saturated,Saturated,Saturated,Saturated,Growing,Saturated,Low Demand,10.2,-14.8,5.9,-1.1,4.0,-3.0,12.8,7.8,5.9,1.9,22.8,-16.2,2.0,-2.0,3.0,-4.0,3.1,1.1,0.5,0.5
Kamothe,NMC-O,19.0126,73.0889,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4.6,53.71,4.7,5,4.6,41.21,8.7,3,4.6,19.13,9.8,9,3.5,72.53,11.7,9,3.6,74.6,22.5,14,3.6,136.49,7.9,0,0.0,0.0,0.0,6,3.6,42.03,21.5,2,4.0,8.79,6.1,1,3.5,2.43,7.9,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,6.0,5.0,3.0,9.0,9.0,14.0,0.0,6.0,2.0,1.0,0.5,0.14,0.72,-80.6,0.15,0.45,-66.7,0.12,1.35,-91.1,0.23,0.27,-14.8,0.22,0.36,-38.9,0.22,0.54,-59.3,0.0,1.8,-100.0,0.75,2.7,-72.2,0.15,0.63,-76.2,0.26,1.08,-75.9,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Low Demand,Growing,Saturated,Saturated,12.6,6.6,6.1,1.1,4.5,1.5,12.2,3.2,5.2,-3.8,25.9,11.9,2.5,2.5,3.1,-2.9,3.1,1.1,0.4,-0.6
Roadpali,NMC-P,19.0289,73.0997,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4.6,226.03,19.9,2,4.3,9.45,2.0,2,4.6,10.11,5.2,17,3.5,171.98,27.8,4,4.5,28.97,8.7,35,4.8,602.03,34.6,2,3.9,8.57,5.8,5,4.6,41.21,21.1,4,4.3,27.68,19.1,1,3.7,2.56,8.3,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,17.0,2.0,2.0,17.0,4.0,35.0,2.0,5.0,4.0,1.0,0.5,0.6,0.72,-16.7,0.04,0.45,-91.1,0.06,1.35,-95.6,0.56,0.27,107.4,0.09,0.36,-75.0,0.95,0.54,75.9,0.23,1.8,-87.2,0.74,2.7,-72.6,0.48,0.63,-23.8,0.27,1.08,-75.0,Saturated,Saturated,Saturated,Saturated,Saturated,Growing,Saturated,Growing,Saturated,Saturated,11.2,-5.8,6.5,4.5,4.6,2.6,11.2,-5.8,5.9,1.9,23.2,-11.8,2.2,0.2,3.2,-1.8,2.9,-1.1,0.4,-0.6
New Panvel,NMC-Q,18.996,73.1092,Navi Mumbai,0,0,4,4,8,8,4,46,0,14,0,0,0,6,4.3,50.2,4.4,4,4.3,27.68,5.8,7,4.0,58.22,29.8,14,4.4,166.82,26.9,2,4.5,9.89,3.0,19,4.2,239.06,13.8,2,4.6,10.11,6.8,5,4.7,42.11,21.5,5,4.4,39.42,27.3,0,0.0,0.0,0.0,18000,90.0,moderate,8.0,6.4,10.8,9.3,5.9,11.4,8.51063829787234,11.11111111111111,24.0,3,Mixed-Use Locality,0.667,0.444,0.778,1.556,0.222,2.111,0.222,0.556,0.556,0.0,0.6284109149277689,0.17,0.72,-76.4,0.13,0.45,-71.1,0.47,1.35,-65.2,0.68,0.27,151.9,0.04,0.36,-88.9,0.48,0.54,-11.1,0.34,1.8,-81.1,0.95,2.7,-64.8,0.86,0.63,36.5,0.0,1.08,-100.0,Low Demand,Low Demand,Growing,Low Demand,Low Demand,Low Demand,Low Demand,Growing,Growing,Low Demand,22.8,16.8,12.0,8.0,5.8,-1.2,12.9,-1.1,6.9,4.9,35.2,16.2,3.2,1.2,3.5,-1.5,6.6,1.6,1.0,1.0
Taloja,NMC-R,19.0658,73.1238,Navi Mumbai,0,0,0,0,0,0,0,0,0,2,0,0,0,7,4.2,61.14,5.4,1,4.5,3.12,0.7,2,3.9,8.57,4.4,9,4.4,91.18,14.7,8,3.8,66.8,20.2,32,4.3,481.12,27.7,3,3.8,15.8,10.7,3,4.7,19.55,10.0,5,4.6,41.21,28.5,0,0.0,0.0,0.0,18000,90.0,moderate,0.1,0.0,0.1,0.2,0.0,0.2,0.0,0.0,24.0,3,Mixed-Use Locality,6.364,0.909,1.818,8.182,7.273,29.091,2.727,2.727,4.545,0.0,0.5016051364365971,0.16,0.72,-77.8,0.01,0.45,-97.8,0.06,1.35,-95.6,0.29,0.27,7.4,0.2,0.36,-44.4,0.76,0.54,40.7,0.43,1.8,-76.1,0.35,2.7,-87.0,0.71,0.63,12.7,0.0,1.08,-100.0,Saturated,Low Demand,Saturated,Saturated,Saturated,Saturated,Saturated,Saturated,Growing,Low Demand,12.5,5.5,6.6,5.6,4.6,2.6,12.2,3.2,5.4,-2.6,23.6,-8.4,2.1,-0.9,3.5,0.5,2.8,-2.2,0.5,0.5
Kalamboli,NMC-S,19.0346,73.0804,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.3,62.59,5.5,13,4.1,140.66,29.7,2,4.2,9.23,4.7,16,4.4,199.46,32.2,8,3.9,68.55,20.7,19,4.1,233.37,13.4,2,4.3,9.45,6.4,1,4.6,3.19,1.6,4,4.5,28.97,20.0,0,0.0,0.0,0.0,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,7.0,13.0,2.0,16.0,8.0,19.0,2.0,1.0,4.0,0.0,0.5,0.16,0.72,-77.8,0.52,0.45,15.6,0.06,1.35,-95.6,0.64,0.27,137.0,0.21,0.36,-41.7,0.37,0.54,-31.5,0.26,1.8,-85.6,0.06,2.7,-97.8,0.5,0.63,-20.6,0.0,1.08,-100.0,Saturated,Growing,Saturated,Growing,Saturated,Saturated,Saturated,Saturated,Growing,Low Demand,12.5,5.5,5.1,-7.9,4.6,2.6,11.4,-4.6,5.4,-2.6,25.2,6.2,2.2,0.2,3.8,2.8,2.9,-1.1,0.5,0.5
Pushpak Nagar,NMC-T,19.02,73.1018,Navi Mumbai,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.5,65.5,5.8,1,3.6,2.5,0.5,6,4.5,52.54,26.9,17,3.8,186.72,30.2,2,4.0,8.79,2.7,9,4.6,95.33,5.5,2,4.2,9.23,6.2,0,0.0,0.0,0.0,4,4.7,30.26,20.9,1,4.5,3.12,10.1,18000,90.0,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3,Mixed-Use Locality,7.0,1.0,6.0,17.0,2.0,9.0,2.0,0.0,4.0,1.0,0.5,0.17,0.72,-76.4,0.01,0.45,-97.8,0.34,1.35,-74.8,0.6,0.27,122.2,0.03,0.36,-91.7,0.15,0.54,-72.2,0.25,1.8,-86.1,0.0,2.7,-100.0,0.52,0.63,-17.5,0.33,1.08,-69.4,Saturated,Low Demand,Growing,Growing,Saturated,Saturated,Saturated,Low Demand,Growing,Growing,12.5,5.5,6.6,5.6,4.1,-1.9,11.2,-5.8,6.1,4.1,26.5,17.5,2.2,0.2,3.9,3.9,2.9,-1.1,0.4,-0.6
